,participant.code,participant.time_started,session.code,session.is_demo,session.config.participation_fee,session.config.community_goal_decimal,session.config.endowment,session.config.single_treatment,single_treatment.1.player.correct_answers,single_treatment.1.player.q1,single_treatment.1.player.q2,single_treatment.1.player.q3,single_treatment.1.player.q4,single_treatment.1.player.q5,single_treatment.1.player.q6,public_goods.1.player.savings,public_goods.2.player.savings,public_goods.3.player.savings,public_goods.4.player.savings,public_goods.5.player.savings,public_goods.6.player.savings,public_goods.7.player.savings,public_goods.8.player.savings,post_survey.1.player.bonus,post_survey.1.player.total_payment,post_survey.1.player.q1,post_survey.1.player.q2,post_survey.1.player.q3,post_survey.1.player.q4,post_survey.1.player.q5,post_survey.1.player.q6,post_survey.1.player.q7,post_survey.1.player.q8,post_survey.1.player.q9,post_survey.1.player.q10,post_survey.1.player.q11,post_survey.1.player.q12,post_survey.1.player.q021,post_survey.1.player.q031,post_survey.1.player.q041,post_survey.1.player.q042,post_survey.1.player.q051,post_survey.1.player.q052,post_survey.1.player.q061,post_survey.1.player.q071,post_survey.1.player.q081,post_survey.1.player.q082,post_survey.1.player.q091,post_survey.1.player.q101,post_survey.1.player.q111,post_survey.1.player.q112,post_survey.1.player.q121,post_survey.1.player.q131,post_survey.1.player.q141,post_survey.1.player.q151
0,znsaz8so,2018-03-22 02:46:48.472105+00:00,hhbn5yfv,1,$0.00,0.2,16,DTI,5,$0.50,Three times the total in the conservation account ,$11.00,$26.00,$11.00,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1918.0,M,Other,,Other,,More than 5 years,"Small city or town (under 50,000)",Republican,,No,Second,Business/Economics,,3 - 5 previous,No,44.0,Reducing energy consumption reduces our reliance on imported fossil fuels.
1,8b1qm9tm,2018-03-22 02:46:48.476331+00:00,hhbn5yfv,1,$0.00,0.2,16,DTI,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1919.0,M,Other,,Other,,Less than 1 year,"Large city (250,000-3,000,000)",Other,random_text 1231,No,Second,Education,test_other 1231,3 - 5 previous,Yes,19.0,Reducing energy consumption reduces pollution and threat of global warming.
2,k3ten00p,2018-03-22 02:51:01.141438+00:00,5num32w4,1,$0.00,0.2,16,DTI,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
3,0lknplsp,2018-03-22 02:51:01.184555+00:00,5num32w4,1,$0.00,0.2,16,DTI,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
4,n54xydmu,2018-03-22 17:37:13.746753+00:00,2kv9j1nk,0,$0.00,0.2,16,DTI,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,13.5,30.5,1.0,3.0,2.0,1.0,5.0,5.0,5.0,3.0,5.0,7.0,3.0,5.0,1997.0,M,White,,North America,,More than 5 years,Suburb near a large city,Independent,,Yes,Third,Science,,1 - 2 previous,No,0.0,Reducing energy consumption reduces pollution and threat of global warming.
5,by6ekdme,2018-03-22 17:37:28.286789+00:00,2kv9j1nk,0,$0.00,0.2,16,DTI,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.5,25.0,7.0,7.0,5.0,7.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,1999.0,F,White,,North America,,More than 5 years,"Small city or town (under 50,000)",None,,Yes,First,Health Sciences,,3 - 5 previous,Yes,0.0,Reducing energy consumption reduces pollution and threat of global warming.
6,w553h6pp,2018-03-22 17:37:51.498623+00:00,2kv9j1nk,0,$0.00,0.2,16,DTI,5,$0.50,Two times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,13.5,28.0,7.0,7.0,5.0,7.0,5.0,5.0,7.0,5.0,3.0,7.0,6.0,5.0,1997.0,F,White,,North America,,More than 5 years,"Small city or town (under 50,000)",Republican,,Yes,Third,Liberal Arts,,More than 5 previous,No,2.0,Reducing energy consumption reduces pollution and threat of global warming.
7,afqllxr3,2018-03-22 17:38:02.654096+00:00,2kv9j1nk,0,$0.00,0.2,16,DTI,6,$0.50,Three times the total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.5,13.5,27.5,7.0,7.0,4.0,6.0,6.0,4.0,6.0,7.0,5.0,7.0,6.0,7.0,1997.0,F,White,,North America,,More than 5 years,"Medium size city (50,000-250,000)",Democrat,,Yes,Third,Liberal Arts,,More than 5 previous,Yes,8.0,Reducing energy consumption reduces pollution and threat of global warming.
8,2d4mi6ji,2018-03-22 17:38:17.717717+00:00,2kv9j1nk,0,$0.00,0.2,16,DTI,4,$0.50,Two times the total in the conservation account ,$12.00,$26.00,$5.00,Yes,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,13.5,26.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1997.0,M,White,,North America,,More than 5 years,On a farm,Republican,,No,Second,Agriculture/Natural Resources,,3 - 5 previous,Yes,6.0,Reducing energy consumption reduces our reliance on imported fossil fuels.
9,dtk9zz8p,2018-03-22 17:38:30.622277+00:00,2kv9j1nk,0,$0.00,0.2,16,DTI,5,$0.50,The total in the conservation account ,$12.00,$26.00,$11.00,Yes,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,13.5,29.0,5.0,5.0,4.0,5.0,6.0,5.0,6.0,5.0,4.0,4.0,7.0,5.0,1997.0,F,White,,North America,,More than 5 years,In the countryside but not on a farm,Republican,,Yes,Third,Agriculture/Natural Resources,,More than 5 previous,No,20.0,Reducing energy consumption is important to improve the local economy.
